Station #,Station Name,# of Racks,Latitude,Longitude,Sidewalk (SW) or Street (ST),,
1000,Liberty Ave & Stanwix St,16,40.441326,-80.004679,SW,,
1001,Forbes Ave & Market Square,19,40.440877,-80.00308,ST,,
1002,Third Ave & Wood St,15,40.43903,-80.00186,ST,,
1003,First Ave & Smithfield St (Art Institute),15,40.4372,-80.000375,ST,,
1004,First Ave & B St (T Station),15,40.435887,-79.997102,ST,,
1005,Forbes Ave & Grant St,13,40.438882,-79.997592,ST,,
1006,Ross St & Sixth Ave (Steel Plaza T Station),7,40.440193,-79.995084,SW,,
1007,Stevenson St & Forbes Ave,15,40.437643,-79.986695,SW,,
1008,Centre Ave & PPG Paints Arena,5,40.440368,-79.988636,SW,,
1009,12th St & Penn Ave,19,40.445844,-79.99238,ST,,
1010,10th St & Penn Ave (David L. Lawrence Convention Center),15,40.444665,-79.995798,SW,,
1011,Fort Duquesne Blvd & 7th,15,40.444777,-80.000831,SW,,
1012,North Shore Trail & Ft Duquesne Bridge,31,40.445834,-80.008882,SW,,
1013,Isabella St & Federal St (PNC Park),15,40.447166,-80.003566,SW,,
1014,Ridge Ave & Brighton Rd (CCAC),19,40.450595,-80.013204,SW,,
1015,Federal St & E North Ave,12,40.45509087,-80.0063467,SW,,
1016,17th St & Penn Ave,19,40.449631,-79.985893,ST,,
1017,21st St & Penn Ave,18,40.451742,-79.983217,ST,,
1018,Butler St & Stanton Ave,5,40.47815,-79.9557,SW,,
1019,42nd St & Butler St,17,40.47021248,-79.96066332,ST,,
1020,42nd St & Penn Ave (Children's Hospital),8,40.465893,-79.954417,ST,,
1021,Taylor St & Liberty Ave,19,40.462769,-79.950867,ST,,
1022,Liberty Ave & S Millvale (West Penn Hospital),15,40.459812,-79.945548,SW,,
1023,Liberty Ave & Baum Blvd,15,40.456505,-79.939362,SW,,
1024,S Negley Ave & Baum Blvd,17,40.458714,-79.933483,SW,,
1025,Penn Ave & N Fairmount St,15,40.464443,-79.933188,SW,,
1026,Penn Ave & S Whitfield St,13,40.461603,-79.925624,SW,,
1027,Shady Ave & Ellsworth Ave,19,40.458972,-79.922023,ST,,
1028,Penn Ave & Putnam St (Bakery Square),8,40.455821,-79.915248,SW,,
1029,Alder St & S Higland Ave,19,40.457415,-79.92492,ST,,
1030,S Euclid Ave & Centre Ave,12,40.458933,-79.929123,ST,,
1031,Maryland Ave & Ellsworth Ave,19,40.45628,-79.930962,ST,,
1032,Walnut St & College St,14,40.453382,-79.92731,ST,,
1033,Ivy St & Walnut St,19,40.45177,-79.932324,ST,,
1034,Ellsworth Ave & N Neville St,15,40.448419,-79.947401,ST,,
1035,Fifth Ave & S Dithridge St,8,40.446744,-79.950881,SW,,
1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),19,40.442398,-79.951479,SW,,
1037,Frew St & Schenley Dr,20,40.441032,-79.948042,SW,,
1038,Boulevard of the Allies & Parkview Ave,19,40.434338,-79.951877,SW,,
1039,Atwood St & Bates,14,40.437987,-79.95367,ST,,
1040,O'Hara St and University Place (Soldiers and Sailors Memorial),21,40.445128,-79.957102,ST,,
1041,Fifth Ave & S Bouquet St,19,40.442325,-79.957604,SW,,
1042,Centre Ave & Kirkpatrick St,12,40.445236,-79.976911,ST,,
1043,S Millvale Ave & Centre Ave,13,40.45351,-79.94747,ST,,
1044,Zulema St & Coltart Ave,19,40.435986,-79.956942,SW,,
1045,S 27th St & Sidney St. (Southside Works),19,40.4279,-79.966112,ST,,
1046,S 25th St & E Carson St,19,40.42802,-79.969799,ST,,
1047,S 22nd St & E Carson St,19,40.428576,-79.974559,SW,,
1048,S 18th St & Sidney St,16,40.429338,-79.980684,ST,,
1049,S 12th St & E Carson St,19,40.428661,-79.986358,ST,,
1052,McNulty Dr & Forbes Ave,6,40.4377657,-79.9906531,SW,,
1053,Hamilton Ave & Zodiac Way,5,40.45803,-79.9112,ST,,
1054,Smithfield St & Fourth Ave,6,40.43866,-79.9997,SW,,
1056,Wood St & Sixth Ave,7,40.44197,-79.9997,SW,,
